City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Gushikawa,JP,26.3544,127.8686,85.62,78,20,18.66,few clouds
308,Paita,PE,-5.0892,-81.1144,67.59,83,77,11.1,broken clouds
309,Dombarovskiy,RU,50.7587,59.5386,61.11,36,100,12.5,overcast clouds
310,Baker City,US,44.7749,-117.8344,60.51,44,40,29.93,scattered clouds
311,Bilibino,RU,68.0546,166.4372,71.78,26,59,10.02,broken clouds
312,Hovd,MN,48.0056,91.6419,52.14,22,8,12.06,clear sky
313,Skelleftea,SE,64.7507,20.9528,57.0,63,90,2.84,overcast clouds
314,Cagliliog,PH,13.9016,123.2913,86.43,69,80,6.17,broken clouds
315,Kochevo,RU,59.5994,54.3125,62.71,57,8,7.34,clear sky
316,Sambava,MG,-14.2667,50.1667,73.83,88,97,5.41,overcast clouds
317,Abnub,EG,27.2696,31.1511,69.39,56,4,12.55,clear sky
318,Saint George,US,37.1041,-113.5841,100.99,9,1,1.01,clear sky
319,Omsukchan,RU,62.5333,155.8,45.79,74,79,13.94,broken clouds
320,Bethel,US,41.3712,-73.414,80.82,67,1,6.91,clear sky
321,Amapa,BR,1.0,-52.0,70.79,99,10,1.14,clear sky
322,Barranca,PE,-10.75,-77.7667,63.07,84,39,8.43,scattered clouds
323,Magadan,RU,59.5667,150.8,42.1,91,100,11.99,overcast clouds
324,Namatanai,PG,-3.6667,152.4333,84.02,76,88,7.85,light rain
325,Obihiro,JP,42.9172,143.2044,78.21,47,89,5.73,overcast clouds
326,Nador,MA,35.174,-2.9287,61.05,94,0,3.56,clear sky
327,Imeni Poliny Osipenko,RU,52.4201,136.4853,46.17,92,100,6.96,overcast clouds
328,Billings,US,45.7833,-108.5007,80.37,34,20,5.75,few clouds
329,Bac Lieu,VN,9.285,105.7244,88.72,63,100,14.63,overcast clouds
330,Victor Harbor,AU,-35.5667,138.6167,66.47,76,100,1.99,overcast clouds
331,Ketchikan,US,55.3422,-131.6461,50.47,87,90,12.66,light rain
332,Ust-Kuyga,RU,70.0167,135.6,43.36,71,90,2.64,overcast clouds
333,Olinda,BR,-8.0089,-34.8553,74.93,83,75,11.68,broken clouds
334,Fort Abbas,PK,29.1925,72.8536,94.66,35,10,6.76,clear sky
335,Guerrero Negro,MX,27.9769,-114.0611,63.55,82,99,14.85,overcast clouds
336,Ordzhonikidze,KZ,52.4411,61.7408,61.97,35,60,6.11,broken clouds
337,Cotonou,BJ,6.3654,2.4183,80.58,78,20,6.91,few clouds
338,Pailon,BO,-17.65,-62.75,74.3,72,73,5.28,broken clouds
339,Kawalu,ID,-7.3817,108.2082,85.98,57,25,2.98,scattered clouds
340,Tsaratanana,MG,-16.7833,47.65,67.75,66,41,5.68,scattered clouds
341,Lafiagi,NG,8.8667,5.4167,75.69,82,94,4.21,overcast clouds
342,Korhogo,CI,9.45,-5.6333,71.35,80,13,3.02,few clouds
343,Bereda,ES,43.2686,-7.5406,56.91,100,92,4.45,overcast clouds
344,Fairbanks,US,64.8378,-147.7164,72.61,38,1,10.36,clear sky
